id,group,score,note
29,E,37,"This is a deliberately long audit note for row 29, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
30,A,71,"This is a deliberately long audit note for row 30, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
31,B,46,"This is a deliberately long audit note for row 31, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
32,C,70,"This is a deliberately long audit note for row 32, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
33,D,42,"This is a deliberately long audit note for row 33, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
34,E,77,"This is a deliberately long audit note for row 34, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
35,A,61.11,"This is a deliberately long audit note for row 35, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
36,B,92,"This is a deliberately long audit note for row 36, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
37,C,90,"This is a deliberately long audit note for row 37, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
38,D,93,"This is a deliberately long audit note for row 38, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
39,E,42,"This is a deliberately long audit note for row 39, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
40,A,,"This is a deliberately long audit note for row 40, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
41,B,BAD,"This is a deliberately long audit note for row 41, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
42,C,-19,"This is a deliberately long audit note for row 42, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
43,D,166,"This is a deliberately long audit note for row 43, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
44,E,92,"This is a deliberately long audit note for row 44, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
45,A,4,"This is a deliberately long audit note for row 45, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
46,B,44,"This is a deliberately long audit note for row 46, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
47,C,72,"This is a deliberately long audit note for row 47, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
48,D,52,"This is a deliberately long audit note for row 48, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
49,E,60.88,"This is a deliberately long audit note for row 49, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
50,A,75,"This is a deliberately long audit note for row 50, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
51,B,73,"This is a deliberately long audit note for row 51, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
52,C,86,"This is a deliberately long audit note for row 52, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
53,D,15,"This is a deliberately long audit note for row 53, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
54,E,38,"This is a deliberately long audit note for row 54, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
55,A,88,"This is a deliberately long audit note for row 55, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
56,B,55.00,"This is a deliberately long audit note for row 56, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
57,C,70,"This is a deliberately long audit note for row 57, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
58,D,44,"This is a deliberately long audit note for row 58, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
59,E,60,"This is a deliberately long audit note for row 59, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
60,A,,"This is a deliberately long audit note for row 60, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
61,B,BAD,"This is a deliberately long audit note for row 61, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
62,C,-12,"This is a deliberately long audit note for row 62, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
63,D,158,"This is a deliberately long audit note for row 63, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
64,E,13,"This is a deliberately long audit note for row 64, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
65,A,98,"This is a deliberately long audit note for row 65, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
66,B,6,"This is a deliberately long audit note for row 66, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
67,C,26,"This is a deliberately long audit note for row 67, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
68,D,62,"This is a deliberately long audit note for row 68, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
69,E,86,"This is a deliberately long audit note for row 69, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
70,A,72.01,"This is a deliberately long audit note for row 70, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
71,B,33,"This is a deliberately long audit note for row 71, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
72,C,18,"This is a deliberately long audit note for row 72, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
73,D,69,"This is a deliberately long audit note for row 73, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
74,E,22,"This is a deliberately long audit note for row 74, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
75,A,93,"This is a deliberately long audit note for row 75, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
76,B,32,"This is a deliberately long audit note for row 76, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
77,C,45.54,"This is a deliberately long audit note for row 77, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
78,D,35,"This is a deliberately long audit note for row 78, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
79,E,61,"This is a deliberately long audit note for row 79, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
80,A,,"This is a deliberately long audit note for row 80, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
81,B,BAD,"This is a deliberately long audit note for row 81, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
82,C,-3,"This is a deliberately long audit note for row 82, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
83,D,111,"This is a deliberately long audit note for row 83, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
84,E,1.67,"This is a deliberately long audit note for row 84, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
85,A,17,"This is a deliberately long audit note for row 85, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
86,B,90,"This is a deliberately long audit note for row 86, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
87,C,21,"This is a deliberately long audit note for row 87, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
88,D,69,"This is a deliberately long audit note for row 88, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
89,E,42,"This is a deliberately long audit note for row 89, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
90,A,10,"This is a deliberately long audit note for row 90, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
91,B,82.97,"This is a deliberately long audit note for row 91, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
92,C,91,"This is a deliberately long audit note for row 92, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
93,D,52,"This is a deliberately long audit note for row 93, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
94,E,80,"This is a deliberately long audit note for row 94, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
95,A,30,"This is a deliberately long audit note for row 95, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
96,B,16,"This is a deliberately long audit note for row 96, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
97,C,46,"This is a deliberately long audit note for row 97, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
98,D,12.22,"This is a deliberately long audit note for row 98, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
99,E,29,"This is a deliberately long audit note for row 99, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
100,A,,"This is a deliberately long audit note for row 100, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
101,B,BAD,"This is a deliberately long audit note for row 101, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
102,C,-20,"This is a deliberately long audit note for row 102, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
103,D,115,"This is a deliberately long audit note for row 103, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
104,E,50,"This is a deliberately long audit note for row 104, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
105,A,6.91,"This is a deliberately long audit note for row 105, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
106,B,67,"This is a deliberately long audit note for row 106, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
107,C,77,"This is a deliberately long audit note for row 107, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
108,D,9,"This is a deliberately long audit note for row 108, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
109,E,2,"This is a deliberately long audit note for row 109, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
110,A,25,"This is a deliberately long audit note for row 110, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
111,B,37,"This is a deliberately long audit note for row 111, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
112,C,37.86,"This is a deliberately long audit note for row 112, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
113,D,63,"This is a deliberately long audit note for row 113, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
114,E,69,"This is a deliberately long audit note for row 114, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
115,A,2,"This is a deliberately long audit note for row 115, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
116,B,96,"This is a deliberately long audit note for row 116, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
117,C,92,"This is a deliberately long audit note for row 117, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
118,D,54,"This is a deliberately long audit note for row 118, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
119,E,86.47,"This is a deliberately long audit note for row 119, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
120,A,,"This is a deliberately long audit note for row 120, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
121,B,BAD,"This is a deliberately long audit note for row 121, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
122,C,-10,"This is a deliberately long audit note for row 122, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
123,D,169,"This is a deliberately long audit note for row 123, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
124,E,45,"This is a deliberately long audit note for row 124, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
125,A,35,"This is a deliberately long audit note for row 125, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
126,B,25.89,"This is a deliberately long audit note for row 126, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
127,C,3,"This is a deliberately long audit note for row 127, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
128,D,4,"This is a deliberately long audit note for row 128, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
129,E,55,"This is a deliberately long audit note for row 129, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
130,A,38,"This is a deliberately long audit note for row 130, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
131,B,11,"This is a deliberately long audit note for row 131, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
132,C,15,"This is a deliberately long audit note for row 132, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
133,D,48.42,"This is a deliberately long audit note for row 133, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
134,E,83,"This is a deliberately long audit note for row 134, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
135,A,27,"This is a deliberately long audit note for row 135, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
136,B,5,"This is a deliberately long audit note for row 136, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
137,C,78,"This is a deliberately long audit note for row 137, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
138,D,91,"This is a deliberately long audit note for row 138, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
139,E,13,"This is a deliberately long audit note for row 139, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
140,A,,"This is a deliberately long audit note for row 140, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
141,B,BAD,"This is a deliberately long audit note for row 141, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
142,C,-25,"This is a deliberately long audit note for row 142, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
143,D,164,"This is a deliberately long audit note for row 143, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
144,E,38,"This is a deliberately long audit note for row 144, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
145,A,85,"This is a deliberately long audit note for row 145, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
146,B,76,"This is a deliberately long audit note for row 146, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
147,C,42.56,"This is a deliberately long audit note for row 147, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
148,D,11,"This is a deliberately long audit note for row 148, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
149,E,77,"This is a deliberately long audit note for row 149, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
150,A,60,"This is a deliberately long audit note for row 150, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
151,B,94,"This is a deliberately long audit note for row 151, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
152,C,69,"This is a deliberately long audit note for row 152, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
153,D,4,"This is a deliberately long audit note for row 153, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
154,E,53.72,"This is a deliberately long audit note for row 154, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
155,A,46,"This is a deliberately long audit note for row 155, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
156,B,30,"This is a deliberately long audit note for row 156, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
157,C,93,"This is a deliberately long audit note for row 157, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
158,D,58,"This is a deliberately long audit note for row 158, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
159,E,46,"This is a deliberately long audit note for row 159, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
160,A,,"This is a deliberately long audit note for row 160, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
161,B,BAD,"This is a deliberately long audit note for row 161, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
162,C,-22,"This is a deliberately long audit note for row 162, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
163,D,140,"This is a deliberately long audit note for row 163, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
164,E,21,"This is a deliberately long audit note for row 164, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
165,A,8,"This is a deliberately long audit note for row 165, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
166,B,7,"This is a deliberately long audit note for row 166, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
167,C,78,"This is a deliberately long audit note for row 167, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
168,D,40.00,"This is a deliberately long audit note for row 168, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
169,E,1,"This is a deliberately long audit note for row 169, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
170,A,62,"This is a deliberately long audit note for row 170, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
171,B,34,"This is a deliberately long audit note for row 171, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
172,C,14,"This is a deliberately long audit note for row 172, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
173,D,48,"This is a deliberately long audit note for row 173, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
174,E,71,"This is a deliberately long audit note for row 174, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
175,A,34.48,"This is a deliberately long audit note for row 175, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
176,B,43,"This is a deliberately long audit note for row 176, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
177,C,80,"This is a deliberately long audit note for row 177, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
178,D,6,"This is a deliberately long audit note for row 178, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
179,E,61,"This is a deliberately long audit note for row 179, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
180,A,,"This is a deliberately long audit note for row 180, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
181,B,BAD,"This is a deliberately long audit note for row 181, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
182,C,-1,"This is a deliberately long audit note for row 182, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
183,D,138,"This is a deliberately long audit note for row 183, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
184,E,80,"This is a deliberately long audit note for row 184, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
185,A,54,"This is a deliberately long audit note for row 185, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
186,B,76,"This is a deliberately long audit note for row 186, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
187,C,58,"This is a deliberately long audit note for row 187, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
188,D,51,"This is a deliberately long audit note for row 188, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
189,E,84.76,"This is a deliberately long audit note for row 189, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
190,A,43,"This is a deliberately long audit note for row 190, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
191,B,0,"This is a deliberately long audit note for row 191, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
192,C,68,"This is a deliberately long audit note for row 192, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
193,D,45,"This is a deliberately long audit note for row 193, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
194,E,51,"This is a deliberately long audit note for row 194, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
195,A,97,"This is a deliberately long audit note for row 195, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
196,B,59.19,"This is a deliberately long audit note for row 196, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
197,C,32,"This is a deliberately long audit note for row 197, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
198,D,96,"This is a deliberately long audit note for row 198, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
199,E,10,"This is a deliberately long audit note for row 199, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
200,A,,"This is a deliberately long audit note for row 200, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
201,B,BAD,"This is a deliberately long audit note for row 201, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
202,C,-24,"This is a deliberately long audit note for row 202, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
203,D,103,"This is a deliberately long audit note for row 203, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
204,E,92,"This is a deliberately long audit note for row 204, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
205,A,88,"This is a deliberately long audit note for row 205, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
206,B,64,"This is a deliberately long audit note for row 206, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
207,C,28,"This is a deliberately long audit note for row 207, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
208,D,52,"This is a deliberately long audit note for row 208, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
209,E,88,"This is a deliberately long audit note for row 209, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
210,A,10.32,"This is a deliberately long audit note for row 210, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
